OccurrenceID,GUID,Herbarium,Accession,Barcode,Basis of Record,Family,Scientific Name,Notho Genus,Genus,Specific Epithet,Specimen Notes,Phenology,Collector,Collector Number,Other Collectors,Day Collected,Month Collected,Year Collected,Verbatim Collection Date,Country,State or Province,County,Locality,Site Description,Verbatim Elevation,Minimum Elevation in Meters,Maximum Elevation in Meters,Decimal Latitude,Decimal Longitude,
3504909,cUmUy9tk8t9YlxoMApWM,ID,190003,ID195559,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,21BC-31,,18,8,2021,,Canada,British Columbia,,"Stamp River Provincial Park, Long Trail up the River. About halfway point on trail.","Old growth Doug-fir forest. Old western hemlock and redcedar also present in overstory. Sword fern, salal, and red huckleberry prevalent in understory. Voucher collected in riparian zone along small creek adjacent to river.",205 ft.,63,,49.349917,-124.953037,
3504927,MeAXwB5opD35X4ykA35t,ID,189909,ID195465,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,Fruits,Daniel Turck,21BC-49,,21,8,2021,,Canada,British Columbia,,"Bear Bight Rd, North of McCrieght Lake.","Collection site is south of the road in a mix of second growth and primary forest. Salal, deer fern, devils club, and skunk cabbage in understory.",225 ft.,69,,50.334824,-125.645021,
3504932,XVklgBnj53TpDd5RnvZG,ID,189876,ID195432,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,21BC-55,,24,8,2021,,Canada,British Columbia,,San Josef Bay Road about 5km east of Cape Scott Trail Trailhead. Close to Ronning Garden.,Riparian area on south side of road.,52 ft.,16,,50.670552,-128.186163,
3504935,a9GxwGXzLoA7yMHZllyP,ID,190001,ID195557,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,21BC-80,,25,8,2021,,Canada,British Columbia,,"Garibaldi Provincial Park, Garibaldi Lake Trail. Between Trailhead and 6km Junction.",Old growth Douglas-fir forest. Western hemlock and western white pine in overstory as well. Large yew in understory. Devils club and wild ginger present in wetter spots.,3495 ft.,1066,,49.949848,-123.096633,
3504941,HcFSnUoJ3Cn4hYl4vwoj,ID,189991,ID195547,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,21BC-86,,25,8,2021,,Canada,British Columbia,,"Garibaldi Provincial Park, Chekamus Lake Trail.","Old growth Doug-fir, western redcedar, and western hemlock forest. Asarum caudatum, Lysichiton americanus, Maianthemum spp., Cornus canadensis, and Vaccinium spp. understory.",2831 ft.,863,,50.034835,-122.969843,
3504945,3Kk9xEQ9hY38KEFF0bxU,ID,189988,ID195544,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,Fruits,Daniel Turck,21BC-90,,26,8,2021,,Canada,British Columbia,,Cypress Provincial Park. Lat Long approximate. Hike along Baden Powell Trail at trailhead east of the Cypress Mountain Resort. Specimens collected about 75m east of major creek crossing.,"Old growth yellow-cedar, amabalis fir, and mountain hemlock forest. ",3097 ft.,944,,49.395313,-123.193437,
3505513,wVfBZoLnzvSUz5UW39Gt,ID,189886,ID195443,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,21BC-147,,19,9,2021,,Canada,British Columbia,,Butze Rapids Trail 1.6km east of Prince Rupert.,"Old growth Thuja plicata, Tsuga heterophylla, and Picea sitchensis forest. Plants growing along small creek right next to trail bridge.",136 ft.,41,,54.298951,-130.265378,
3505519,geGWGS8iKr6GtcekX7iP,ID,189810,ID195366,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,21BC-20,,17,8,2021,,Canada,British Columbia,,West end of Sproat Lake. Access via South Taylor Main Road. South side of road.,Second growth Sitka spruce forest.,161 ft.,49,,49.294033,-125.279436,
3505521,k21HcosUbMslVCVGczKj,ID,189918,ID195474,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,21BC-38,,20,8,2021,,Canada,British Columbia,,Along Head Bay Road in between Moutcha Bay and Tahsis.,Second growth cedar-hemlock forest. Relatively open understory.,776 ft.,237,,49.881816,-126.578737,
3498535,a37ffcad-602a-4ffb-8bfd-479b040f0fa6,ID,189332,ID194885,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,,Fruits,Daniel Turck,TB BDR 105,,21,8,2019,,U.S.A.,Idaho,Shoshone,"Eagle Creek, St. Joe NF. Eagle Creek Rd. 0.6 miles from junction of Saint Joe River Rd.",Cedar-Hemlock Forest. Coastal disjunct understory.,3064 ft.,934,,47.220472,-115.542649,
3546204,R9c3Z3AiWuKIzprPSbjd,ID,193988,ID199649,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB MT 11,Quinn Buzzard,21,5,2019,,U.S.A.,Montana,Flathead,"Hungry Horse Reservoir, Dorris Creek Campground, Flathead National Forest.",Northern Rocky Mountain mixed conifer forest.,3578 ft.,1091,,48.304556,-113.982064,
3546206,ciCJLQTOIhM34Z6l1FyK,ID,190645,ID196200,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB MT 13,Quinn Buzzard,22,5,2019,,U.S.A.,Montana,Lake,"Bond Creek Trail, Flathead National Forest. 1.5 miles up trail where trail crosses creek.",Birch and western larch forest with Dodecatheon spp. and Erythronium grandiflorum in understory.,3227 ft.,984,,47.922213,-113.813328,
3546209,odoml1wfQIiPAOR6ijhp,ID,190662,ID196212,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB MT 17,Quinn Buzzard,22,5,2019,,U.S.A.,Montana,Lake,"Jim Creek, Flathead National Forest. Access via NF-9798 Road, off of the west side of Peck Lake Road.","Old growth western redcedar forest, coastal disjunct plants present in understory.",3636 ft.,1109,,47.612494,-113.81939,
3546228,BpIOJ3KGrZK0j1MMluf7,ID,190244,ID195800,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB MT 38,Quinn Buzzard,31,5,2019,,U.S.A.,Montana,Missoula,"McCormick Creek, Ninemile Ranger District, Lolo National Forest. McCormick Creek Road three miles from junction with Ninemile Road.",Weird little mature cedar forest with yew and devils club in understory.,3803 ft.,1159,,47.157864,-114.472609,
3546233,1KpO8LRD0tqpJIWbdpSD,ID,193986,ID199647,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB MT 9,Quinn Buzzard,20,5,2019,,U.S.A.,Montana,Flathead,"Stanton Lake Trail, Flathead National Forest. ~100m from trailhead. Access via Hwy 2, 24 miles east of West Glacier.",Western redcedar and white pine overstory with devils club and yew understory.,3591 ft.,1095,,48.399229,-113.715533,
3546236,C4ZWSVrETTwoVgAQHhn9,ID,190394,ID195950,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB OR 11,Quinn Buzzard,26,6,2019,,U.S.A.,Oregon,Multnomah,Wildwood Trail. Trailhead on north side of Old German Town Road. Very close to trailhead.,"Old growth Douglas-fir, western redcedar, and western hemlock forest.",820 ft.,250,,45.589647,-122.80179,
3546244,vOLXEed2PGwGobqJTIzP,ID,190420,ID195976,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB OR 19,Quinn Buzzard,26,6,2019,,U.S.A.,Oregon,Tillamook,Munson Creek Falls trailhead / parking lot.,"Old growth Douglas-fir, western redcedar, and western hemlock forest. Salmonberry understory.",340 ft.,104,,45.365651,-123.773553,
3546256,hbB8L8HvljkrAIZ9oPTX,ID,190396,ID195952,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB OR 3,Quinn Buzzard,24,6,2019,,U.S.A.,Oregon,Clackamas,"Ramona Falls Trail, Mount Hood National Forest.",Old growth Douglas-fir western redcedar and western hemlock forest.,3552 ft.,1083,,45.380077,-121.776153,
3546308,KYLTN9UGIeNs5l5vaeJ5,ID,190265,ID195821,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB OR 77,Quinn Buzzard,2,7,2019,,U.S.A.,Oregon,Linn,"Santiam Hwy, close to Hackleman Old Growth turnout. Willamette National Forest.","Old growth Douglas-fir, western redcedar, and western hemlock forest.",3530 ft.,1076,,44.399507,-122.092757,
3546310,2XY1WIIQ01v2GEvXeQSf,ID,190266,ID195822,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB OR 79,Quinn Buzzard,2,7,2019,,U.S.A.,Oregon,Linn,"Willamette National Forest. East side of Hwy 22, across from 'Riverside at Detroit Campground.'","Old growth Douglas-fir, western redcedar, and western hemlock forest.",2360 ft.,720,,44.641496,-121.944141,
3546311,B9lvRtLcGRq8w8M4FYgS,ID,190378,ID195934,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB OR 8,Quinn Buzzard,26,6,2019,,U.S.A.,Oregon,Clackamas,Mount Hood National Forest. About 1 mile upriver along Salmon River Trail.,"Old growth Douglas-fir, western redcedar, and western hemlock forest.",1722 ft.,525,,45.272317,-121.937133,
3546316,lE6uox5E6h95Js1i1JmM,ID,190314,ID195869,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB WA 2,Quinn Buzzard,10,7,2019,,U.S.A.,Washington,Skamania,"Gifford Pinchot National Forest. Old Doug-fir stand, NE of junction between NF Road 93 and NF Road 90. 2.5 miles east of Lower Lewis Falls Campground.","Old growth Douglas-fir, western redcedar, and western hemlock forest.",1858 ft.,566,,46.182501,-121.852644,
3546321,avBumONvKJb7B1gWC5Wv,ID,190349,ID195905,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB WA 8,Quinn Buzzard,10,7,2019,,U.S.A.,Washington,Pierce,"The Dalles Campground, Snoqualmie National Forest. Close to Giant Douglas-fir Trail. ","Old growth Douglas-fir, western redcedar, and western hemlock forest.",2128 ft.,649,,47.074544,-121.579912,
3546332,YqDQx3gkYySYD2AHKBpT,ID,190535,ID196091,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB WA 19,Quinn Buzzard,11,7,2019,,U.S.A.,Washington,Grays Harbor,"Cambell Tree Grove Campground, Olympic National Forest.","Old growth Douglas-fir, western redcedar, and western hemlock forest. Salmonberry, devils club, and Vaccinium spp. understory.",1065 ft.,325,,47.482122,-123.684348,
3546337,T9KwhXNnPq394aAl3z1d,ID,190353,ID195908,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB WA 24,Quinn Buzzard,12,7,2019,,U.S.A.,Washington,Clallam,Cat Creek Loop Trail off of Gray Wolf Trail. Olympic National Forest.,"Old growth Douglas-fir, western redcedar, and western hemlock forest. Salmonberry, devils club, and Vaccinium spp. understory.",1238 ft.,377,,47.962161,-123.133935,
3546342,thCw3ztUXpynqpdcFRFs,ID,190553,ID196107,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB WA 29,Quinn Buzzard,12,7,2019,,U.S.A.,Washington,Snohomish,"Index - Galena Road. 5.1 miles east of Index, Washington. Specimen collected where road washes out.","Mature Douglas-fir, western redcedar, and hemlock forest.",840 ft.,256,,47.863287,-121.483818,
3546350,Sxns8sWXZcTpclxgEsp4,ID,190307,ID195863,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB WA 37,Quinn Buzzard,13,7,2019,,U.S.A.,Washington,Skagit,"Marble Creek Campground, Mt. Baker National Forest. Campground is 9.3 miles east of Marblemount, Washington on Cascade River Rd.","Old growth Douglas-fir, western redcedar, and western hemlock forest. Salmonberry, devils club and, Vaccinium spp. understory.",984 ft.,300,,48.528441,-121.276213,
3546358,1esrtNOA9M1PgkjiEbJ9,ID,190297,ID195853,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB WA 45,,13,7,2019,,U.S.A.,Washington,Whatcom,"Nooksack Falls Trail, Mount Baker National Forest. 7.4 miles east of Glacier, Washington.","Mature Douglas-fir, western redcedar, and hemlock forest.",1511 ft.,461,,48.905522,-121.809018,
3546383,sG6YzLmGdu3ko81bFoXl,ID,190355,ID195910,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,,,Daniel Turck,TB BDR 1,Quinn Buzzard,16,7,2019,,U.S.A,ID,Shoshone,"Settlers Grove, Coeur d'Alene National Forest. Access via West Fork Eagle Creek Road. ~5mi NE of Prichard ID.","Old growth western redcedar forest with yew, devils club, and wild ginger understory.",3439,3439,,47.713368,-115.822142,
3546388,UxAn6ATvECpdtzGSWHyP,ID,190323,ID195878,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,,,Daniel Turck,TB BDR 6,Quinn Buzzard,17,7,2019,,U.S.A,MT,Sanders,"FS Road 2213, Kootenai National Forest. 18.7 Miles west of Trout Creek, MT where road crosses small drainage.","Thuja plicata - Abies grandis overstory. Taxus brevifolia, Oplopanax horridus, and Asarum caudatum understory.",4042,4042,,47.857294,-115.895561,
3546392,PdRf8tlu9ea9hzx7S1cU,ID,190327,ID195882,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,,,Daniel Turck,TB BDR 10,Quinn Buzzard,17,7,2019,,U.S.A,MT,Sanders,"East Fork Bull River Trail, Cabinet Wilderness, Kootenai National Forest. Plants harvested where trail crosses East Fork of the Bull River on sturdy pack-bridge. Trail located off of FS RD 407.",Old growth western redcedar - western hemlock forest.,3567,3567,,48.10788,-115.676605,
3546398,TsU7vruTNVg1XpOkwv6H,ID,,,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,,,Daniel Turck,TB BDR 105,,21,8,2019,,U.S.A,ID,Shoshone,"Eagle Creek, St. Joe National Forest. Eagle Creek Road, 0.6 miles north of Saint Joe River Rd junction.",Western redcedar - hemlock forest. Coastal disjunct vegetation predominates understory.,3064,3064,,47.220472,-115.542649,
3546404,3WcZnCZF9EJrqUjqixrp,ID,190330,ID195885,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,,,Daniel Turck,TB BDR 123,,29,9,2019,,U.S.A,WA,Pend Oreille,"Roosevelt Cedars, Kaniksu National Forest. Access via FS Road 302 and Hwy 57. 13 miles north of Nordmann, ID.",Old growth western redcedar forest. Coastal disjunct vegetation predominates understory.,3289,3289,,48.766548,-117.061896,
3546432,KGaZ726UZ0kIB1ycSEAx,ID,190681,ID196238,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,,,Daniel Turck,TB BDR 33,Quinn Buzzard,20,7,2019,,U.S.A,ID,Clearwater,"~0.5 miles up FS RD 711 (Mush Saddle / Cold Springs Creek Road) north of FS RD 250 junction. Bushwhack from road to Cold Springs Creek. North Fork Ranger District, Clearwater National Forest.",Old growth Thuja plicata forest.,3020,3020,,46.731806,-115.309528,
3546434,8aWmv3EIGkKQbvJsLpzP,ID,190687,ID196233,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,,,Daniel Turck,TB BDR 35,Quinn Buzzard,20,7,2019,,U.S.A,ID,Clearwater,"11 Miles up river from Canyon Work Center on FS Road 247. North Fork Ranger District, Clearwater National Forest. ",Devils club thicket growing in road ditch.,1895,1895,,46.76576,-115.488205,
3546435,YVG4g1YHdTHVmMo3npOL,ID,190686,ID196234,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,,,Daniel Turck,TB BDR 36,Quinn Buzzard,20,7,2019,,U.S.A,ID,Clearwater,"Isabella Landing Trailhead, just across trailhead bridge. 2 Miles west Aquarius Campground, Clearwater National Forest.",Old growth Thuja plicata forest. Coastal disjunct species predominate in understory.,1688,1688,,46.84976,-115.630042,
3547272,7BazOisbzVR9z81y4AwC,ID,190252,ID195808,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB BC 01,Quinn Buzzard,24,7,2019,,Canada,British Columbia,,"Cedar Creek Road, about 4.3 kilometers south of the town of Likely, BC, Cariboo District. Collected east of Cedar Point Provincial Park where road crosses small creek. ",Mature Thuja plicata - Tusga heterophylla forest. Understory dominated by Oplopanax horridus.,2501 ft.,763,,52.577284,-121.532635,
3547273,eewRyTXJDbLetGU7ADDW,ID,190483,ID196039,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB BC 02,Quinn Buzzard,25,7,2019,,Canada,British Columbia,,"Aleza Lake area, south of Upper Fraser Road. About 45 air kilometers northeast of Prince George, BC.","Moist Picea glauca, Picea mariana, and Populus tremuloides forest. Vaccinium spp. in understory.",2149 ft.,655,,54.08964,-122.090325,
3547276,KemhUXfS9DNWGchvfgzv,ID,190469,ID196025,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB BC 05,Quinn Buzzard,25,7,2019,,Canada,British Columbia,,"Hungary Creek Forest Service Road, 1.6km south of junction with Yellowhead Hwy. About 92km east of Prince George, BC.",Mature Thuja plicata - Tusga heterophylla forest. Understory relatively open.,2549 ft.,777,,53.84951,-121.510443,
3547278,GHOwB4Cd6lFiL3npjJg1,ID,190487,ID196043,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB BC 08,Quinn Buzzard,25,7,2019,,Canada,British Columbia,,"Cold Fire Creek Forest Service Road, 1.5 km north of junction with Yellowhead Hwy. Junction with Hwy is 16km northwest of junction between Hwy 5 and Yellowhead Hwy at Tête Jaune Cache.",Mature Thuja plicata - Tusga heterophylla forest. ,2569 ft.,783,,53.067694,-119.599773,
3547280,FFqmKXgl5AU3VJmWhiRU,ID,190484,ID196040,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB BC 10,Quinn Buzzard,25,7,2019,,Canada,British Columbia,,"Myrtle Lake Access Road, 12.1km west of Blue River, BC.",Old growth Thuja plicata - Tusga heterophylla forest. Understory relatively open.,3113 ft.,949,,52.072354,-119.432156,
3547284,JgJw5Y8lT4fAKxiQDHo6,ID,190419,ID195975,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB BC 14,Quinn Buzzard,28,7,2019,,Canada,British Columbia,,"Brisco Road, 4.8 road kilometers west of Brisco, BC.",Moist riparian Thuja plicata forest.,2616 ft.,798,,50.833586,-116.320376,
3547288,lU6zOoiWDUBokqD7kbaW,ID,190473,ID196029,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB BC 18,Quinn Buzzard,29,7,2019,,Canada,British Columbia,,"Hemlock Boardwalk parking lot, Glacier National Park, Canada.",Old growth Thuja plicata - Tusga heterophylla forest. Relatively open understory.,3303 ft.,1007,,51.241226,-117.648419,
3547292,Aagf5kRDs1lkidJBQ57c,ID,190990,ID196546,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB BC 23,Quinn Buzzard,30,7,2019,,Canada,British Columbia,,"Fred Liang Road. 1.53km southeast of junction with Hwy 23, north of Mica Creek, BC.","Old growth Thuja plicata - Tusga heterophylla forest. Oplopanax horridus, Pteridium aquilinum, and Sporadic Asarum caudatum in understory.",2593 ft.,791,,52.013501,-118.558996,
3547295,OBU3fem2MCug30T88dVV,ID,190275,ID195831,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB BC 26,Quinn Buzzard,30,7,2019,,Canada,British Columbia,,"Downie Creek Road, 2.57km up creek from junction with Hwy 23. Junction is 64.1km north of Revelstoke, BC. Plants located downhill (creekside) of road.",Old growth Thuja plicata - Tusga heterophylla forest. Moist understory with Oplopanax horridus and Lysichiton americanus.,2110 ft.,643,,51.505444,-118.357469,
3547308,hReIMv9Yvao3rDUN6dNQ,ID,190397,ID195953,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB BC 39,Quinn Buzzard,31,7,2019,,Canada,British Columbia,,"Cedar Grove Loop Trail, located north of Kuskanax Creek. Access via Kuskanax Creek FS Road about 15 air kilometers northeast of Nakusp, BC.","Old growth Thuja plicata - Tusga heterophylla forest. Oplopanax horridus predominates understory. Asarum caudatum, Linnea borealis, Athyrium filix-femina, and Corallorhiza spp. also present in understory.",3274 ft.,998,,50.30423,-117.637092,
3547314,6bkyvky4hRKC55LhQgSe,ID,191027,ID196583,PreservedSpecimen,Araliaceae,Oplopanax horridus,,Oplopanax,horridus,Additional tissue preserved in silica.,,Daniel Turck,TB BC 45,Quinn Buzzard,31,7,2019,,Canada,British Columbia,,"4 Mile Creek Road. 0.35km east of Silverton, BC.",Thuja plicata and Tsuga heterophylla forest.,1882 ft.,574,,49.953416,-117.350755,
